File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,"American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area",Combined Statistical Area,"Metropolitan Statistical Area-Metropolitan Division",Metropolitan Area Central City,"Metropolitan/MicropolitanIndicator Flag",New England City and Town Area,"New England City and TownCombined Statistical Area","New England City and Town AreaDivision",Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,"Public Use Microdata Area – 5%File",Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,Median Household Income (In 2021 Inflation Adjusted Dollars)
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A14006_001
ACSSF,ak,312,0,17,,,,,2,,,3000,,,,,,,,,,11260,,,,,,,,,,,,,,,,,,Y,,31200US112600203000,Anchorage municipality,,,"Anchorage municipality, AK; Anchorage, AK Metro Area",1.126E+11,4415108963,663860984,203000,,,,,,,191999,10474,43263,64751,44738,18951,7088,2734,5.46,22.53,33.72,23.3,9.87,3.69,1.42,86654
ACSSF,mi,312,0,83,,,,,26,,,3000,,,,,,,,,,11460,,,,,,,,,,,,,,,,,,Y,,31200US114602603000,Ann Arbor city,,,"Ann Arbor city, MI; Ann Arbor, MI Metro Area",1.14603E+11,72078915,2254496,2603000,,,,,,,69418,1612,5979,9421,21053,17867,5519,7967,2.32,8.61,13.57,30.33,25.74,7.95,11.48,68864
ACSSF,wi,312,0,57,,,,,55,,,2375,,,,,,,,,,11540,,,,,,,,,,,,,,,,,,Y,,31200US115405502375,Appleton city,,,"Appleton city, WI (part); Appleton, WI Metro Area",1.15406E+11,61997914,1267183,5502375,,,,,,,47994,3437,12131,15615,10779,4594,611,827,7.16,25.28,32.54,22.46,9.57,1.27,1.72,66515
ACSSF,nc,312,0,67,,,,,37,,,2140,,,,,,,,,,11700,,,,,,,,,,,,,,,,,,Y,,31200US117003702140,Asheville city,,,"Asheville city, NC; Asheville, NC Metro Area",1.17004E+11,116376105,774910,3702140,,,,,,,72579,4883,12106,17157,21448,12987,2924,1074,6.73,16.68,23.64,29.55,17.89,4.03,1.48,59758
ACSSF,ga,312,0,66,,,,,13,,,3440,,,,,,,,,,12020,,,,,,,,,,,,,,,,,,Y,,31200US120201303440,Athens-Clarke County unified government (balance),,,"Athens-Clarke County unified government (balance), GA; Athens-Clarke County, GA Metro Area",1.20201E+11,301358255,4657003,1303440,,,,,,,71633,7587,12418,16095,16521,12343,1451,5218,10.59,17.34,22.47,23.06,17.23,2.03,7.28,50299
ACSSF,ga,312,0,67,,,,,13,,,1696,,,,,,,,,,12060,,,,,,,,,,,,,,,,,,Y,,31200US120601301696,Alpharetta city,,,"Alpharetta city, GA; Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.20601E+11,,,1301696,,,,,,,44721,1292,3024,8698,18348,9762,2062,1535,2.89,6.76,19.45,41.03,21.83,4.61,3.43,122326
ACSSF,ga,312,0,68,,,,,13,,,4000,,,,,,,,,,12060,,,,,,,,,,,,,,,,,,Y,,31200US120601304000,Atlanta city,,,"Atlanta city, GA; Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.20601E+11,344861307,2219186,1304000,,,,,,,344635,25148,49859,63430,117456,54776,21830,12136,7.3,14.47,18.4,34.08,15.89,6.33,3.52,74107
ACSSF,ga,312,0,69,,,,,13,,,68516,,,,,,,,,,12060,,,,,,,,,,,,,,,,,,Y,,31200US120601368516,Sandy Springs city,,,"Sandy Springs city, GA; Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.20601E+11,97489602,2287459,1368516,,,,,,,80196,2606,8266,12975,31649,16844,6614,1242,3.25,10.31,16.18,39.46,21,8.25,1.55,94456
ACSSF,al,312,0,41,,,,,1,,,3076,,,,,,,,,,12220,,,,,,,,,,,,,,,,,,Y,,31200US122200103076,Auburn city,,,"Auburn city, AL; Auburn-Opelika, AL Metro Area",1.222E+11,150393881,2670435,103076,,,,,,,,,,,,,,,,,,,,,,48531
ACSSF,ga,312,0,70,,,,,13,,,4204,,,,,,,,,,12260,,,,,,,,,,,,,,,,,,Y,,31200US122601304204,Augusta-Richmond County consolidated government (balance),,,"Augusta-Richmond County consolidated government (balance), GA; Augusta-Richmond County, GA-SC Metro Area",1.22601E+11,783404428,10867251,1304204,,,,,,,132111,15702,40142,44058,17541,8162,5121,1385,11.89,30.39,33.35,13.28,6.18,3.88,1.05,47921
ACSSF,tx,312,0,132,,,,,48,,,5000,,,,,,,,,,12420,,,,,,,,,,,,,,,,,,Y,,31200US124204805000,Austin city,,,"Austin city, TX; Austin-Round Rock-Georgetown, TX Metro Area",1.24205E+11,771546901,18560605,4805000,,,,,,,687073,49298,99033,127388,260645,107858,24798,18053,7.18,14.41,18.54,37.94,15.7,3.61,2.63,79542
ACSSF,tx,312,0,133,,,,,48,,,29336,,,,,,,,,,12420,,,,,,,,,,,,,,,,,,Y,,31200US124204829336,Georgetown city,,,"Georgetown city, TX; Austin-Round Rock-Georgetown, TX Metro Area",1.24205E+11,,,4829336,,,,,,,53795,2981,10389,17054,13777,7314,1071,1209,5.54,19.31,31.7,25.61,13.6,1.99,2.25,79601
ACSSF,tx,312,0,134,,,,,48,,,63500,,,,,,,,,,12420,,,,,,,,,,,,,,,,,,Y,,31200US124204863500,Round Rock city,,,"Round Rock city, TX; Austin-Round Rock-Georgetown, TX Metro Area",1.24205E+11,88351726,781227,4863500,,,,,,,82318,5659,16391,24755,22132,10210,1185,1986,6.87,19.91,30.07,26.89,12.4,1.44,2.41,79649
ACSSF,tx,312,0,135,,,,,48,,,65600,,,,,,,,,,12420,,,,,,,,,,,,,,,,,,Y,,31200US124204865600,San Marcos city,,,"San Marcos city, TX (part); Austin-Round Rock-Georgetown, TX Metro Area",1.24205E+11,76673665,340808,4865600,,,,,,,,,,,,,,,,,,,,,,36080
ACSSF,ca,312,0,196,,,,,6,,,3526,,,,,,,,,,12540,,,,,,,,,,,,,,,,,,Y,,31200US125400603526,Bakersfield city,,,"Bakersfield city, CA; Bakersfield, CA Metro Area",1.25401E+11,368204317,3741691,603526,,,,,,,247870,44473,62155,79747,39666,13577,4992,3260,17.94,25.08,32.17,16,5.48,2.01,1.32,66666
ACSSF,md,312,0,38,,,,,24,,,4000,,,,,,,,,,12580,,,,,,,,,,,,,,,,,,Y,,31200US125802404000,Baltimore city,,,"Baltimore city, MD; Baltimore-Columbia-Towson, MD Metro Area",1.25802E+11,209643241,28768302,2404000,,,,,,,405797,45287,107839,99582,78197,49506,14873,10513,11.16,26.57,24.54,19.27,12.2,3.67,2.59,54652
ACSSF,md,312,0,39,,,,,24,,,19125,,,,,,,,,,12580,,,,,,,,,,,,,,,,,,Y,,31200US125802419125,Columbia CDP,,,"Columbia CDP, MD; Baltimore-Columbia-Towson, MD Metro Area",1.25802E+11,,,2419125,,,,,,,73376,3315,7988,13835,20754,19671,3554,4259,4.52,10.89,18.85,28.28,26.81,4.84,5.8,110002
ACSSF,la,312,0,37,,,,,22,,,5000,,,,,,,,,,12940,,,,,,,,,,,,,,,,,,Y,,31200US129402205000,Baton Rouge city,,,"Baton Rouge city, LA; Baton Rouge, LA Metro Area",1.29402E+11,199291656,5588234,2205000,,,,,,,136594,17196,37358,33866,28420,12205,3669,3880,12.59,27.35,24.79,20.81,8.94,2.69,2.84,41257
ACSSF,tx,312,0,136,,,,,48,,,7000,,,,,,,,,,13140,,,,,,,,,,,,,,,,,,Y,,31200US131404807000,Beaumont city,,,"Beaumont city, TX; Beaumont-Port Arthur, TX Metro Area",1.31405E+11,214452312,7853977,4807000,,,,,,,72600,8137,21288,24688,13515,3740,802,430,11.21,29.32,34.01,18.62,5.15,1.1,0.59,51361
ACSSF,wa,312,0,53,,,,,53,,,5280,,,,,,,,,,13380,,,,,,,,,,,,,,,,,,Y,,31200US133805305280,Bellingham city,,,"Bellingham city, WA; Bellingham, WA Metro Area",1.33805E+11,70135294,4725256,5305280,,,,,,,58731,3191,10695,17069,15757,8188,1954,1877,5.43,18.21,29.06,26.83,13.94,3.33,3.2,58597
ACSSF,or,312,0,36,,,,,41,,,5800,,,,,,,,,,13460,,,,,,,,,,,,,,,,,,Y,,31200US134604105800,Bend city,,,"Bend city, OR; Bend, OR Metro Area",1.34604E+11,85485389,660864,4105800,,,,,,,75713,3660,10483,23134,23591,9526,3243,2076,4.83,13.85,30.55,31.16,12.58,4.28,2.74,82102
ACSSF,mt,312,0,21,,,,,30,,,6550,,,,,,,,,,13740,,,,,,,,,,,,,,,,,,Y,,31200US137403006550,Billings city,,,"Billings city, MT; Billings, MT Metro Area",1.37403E+11,112440355,294893,3006550,,,,,,,81307,4467,19071,27261,20481,7624,1583,820,5.49,23.46,33.53,25.19,9.38,1.95,1.01,65818
ACSSF,al,312,0,42,,,,,1,,,7000,,,,,,,,,,13820,,,,,,,,,,,,,,,,,,Y,,31200US138200107000,Birmingham city,,,"Birmingham city, AL; Birmingham-Hoover, AL Metro Area",1.382E+11,378310927,6590665,107000,,,,,,,134181,16319,39609,39093,22923,9350,4335,2552,12.16,29.52,29.13,17.08,6.97,3.23,1.9,36614
ACSSF,al,312,0,43,,,,,1,,,35896,,,,,,,,,,13820,,,,,,,,,,,,,,,,,,Y,,31200US138200135896,Hoover city,,,"Hoover city, AL; Birmingham-Hoover, AL Metro Area",1.382E+11,122147545,2713859,135896,,,,,,,65696,1989,6654,13834,26077,9345,4150,3647,3.03,10.13,21.06,39.69,14.22,6.32,5.55,99276
ACSSF,nd,312,0,21,,,,,38,,,7200,,,,,,,,,,13900,,,,,,,,,,,,,,,,,,Y,,31200US139003807200,Bismarck city,,,"Bismarck city, ND; Bismarck, ND Metro Area",1.39004E+11,79887398,991354,3807200,,,,,,,51945,2509,12843,16898,13899,4365,1013,418,4.83,24.72,32.53,26.76,8.4,1.95,0.8,61861
ACSSF,il,312,0,96,,,,,17,,,6613,,,,,,,,,,14010,,,,,,,,,,,,,,,,,,Y,,31200US140101706613,Bloomington city,,,"Bloomington city, IL; Bloomington, IL Metro Area",1.40102E+11,,,1706613,,,,,,,49552,2386,8856,13619,16028,6144,1106,1413,4.82,17.87,27.48,32.35,12.4,2.23,2.85,71700
ACSSF,in,312,0,68,,,,,18,,,5860,,,,,,,,,,14020,,,,,,,,,,,,,,,,,,Y,,31200US140201805860,Bloomington city,,,"Bloomington city, IN; Bloomington, IN Metro Area",1.40202E+11,59979980,514435,1805860,,,,,,,37163,2355,5827,6399,9847,8848,1077,2810,6.34,15.68,17.22,26.5,23.81,2.9,7.56,37734
ACSSF,id,312,0,23,,,,,16,,,8830,,,,,,,,,,14260,,,,,,,,,,,,,,,,,,Y,,31200US142601608830,Boise City city,,,"Boise City city, ID; Boise City, ID Metro Area",1.42602E+11,205550644,1777837,1608830,,,,,,,163909,8204,31934,45136,48375,21804,5426,3030,5.01,19.48,27.54,29.51,13.3,3.31,1.85,70217
ACSSF,ma,312,0,52,,,,,25,,,7000,,,,,,,,,,14460,,,,,,,,,,,,,,,,,,Y,,31200US144602507000,Boston city,,,"Boston city, MA; Boston-Cambridge-Newton, MA-NH Metro Area",1.44603E+11,125037462,107130299,2507000,,,,,,,454669,53910,85334,76785,121992,75618,24835,16195,11.86,18.77,16.89,26.83,16.63,5.46,3.56,79283
ACSSF,ma,312,0,53,,,,,25,,,11000,,,,,,,,,,14460,,,,,,,,,,,,,,,,,,Y,,31200US144602511000,Cambridge city,,,"Cambridge city, MA; Boston-Cambridge-Newton, MA-NH Metro Area",1.44603E+11,16538139,1868370,2511000,,,,,,,79413,4266,3810,6680,25277,21582,5648,12150,5.37,4.8,8.41,31.83,27.18,7.11,15.3,104746
ACSSF,ma,312,0,54,,,,,25,,,24960,,,,,,,,,,14460,,,,,,,,,,,,,,,,,,Y,,31200US144602524960,Framingham city,,,"Framingham city, MA; Boston-Cambridge-Newton, MA-NH Metro Area",1.44603E+11,64848330,3788671,2524960,,,,,,,47324,5236,8060,9598,14011,7846,1245,1328,11.06,17.03,20.28,29.61,16.58,2.63,2.81,94023
ACSSF,ma,312,0,55,,,,,25,,,45560,,,,,,,,,,14460,,,,,,,,,,,,,,,,,,Y,,31200US144602545560,Newton city,,,"Newton city, MA; Boston-Cambridge-Newton, MA-NH Metro Area",1.44603E+11,46198301,847269,2545560,,,,,,,56582,1404,2958,4454,16892,16571,7034,7269,2.48,5.23,7.87,29.85,29.29,12.43,12.85,183208
ACSSF,co,312,0,43,,,,,8,,,7850,,,,,,,,,,14500,,,,,,,,,,,,,,,,,,Y,,31200US145000807850,Boulder city,,,"Boulder city, CO; Boulder, CO Metro Area",1.45001E+11,63881081,2638950,807850,,,,,,,60169,2568,4356,7785,22376,14517,3044,5523,4.27,7.24,12.94,37.19,24.13,5.06,9.18,84167
ACSSF,ky,312,0,30,,,,,21,,,8902,,,,,,,,,,14540,,,,,,,,,,,,,,,,,,Y,,31200US145402108902,Bowling Green city,,,"Bowling Green city, KY; Bowling Green, KY Metro Area",1.45402E+11,97855658,832448,2108902,,,,,,,40992,5503,11842,10362,7521,3952,1117,695,13.42,28.89,25.28,18.35,9.64,2.72,1.7,43443
ACSSF,ct,312,0,35,,,,,9,,,8000,,,,,,,,,,14860,,,,,,,,,,,,,,,,,,Y,,31200US148600908000,Bridgeport city,,,"Bridgeport city, CT; Bridgeport-Stamford-Norwalk, CT Metro Area",1.48601E+11,41372169,8719037,908000,,,,,,,103066,18304,33112,27183,14620,7777,1004,1066,17.76,32.13,26.37,14.19,7.55,0.97,1.03,46445
ACSSF,ct,312,0,36,,,,,9,,,18430,,,,,,,,,,14860,,,,,,,,,,,,,,,,,,Y,,31200US148600918430,Danbury city,,,"Danbury city, CT; Bridgeport-Stamford-Norwalk, CT Metro Area",1.48601E+11,108499386,5829369,918430,,,,,,,60733,9834,14575,14095,12064,8082,1317,766,16.19,24,23.21,19.86,13.31,2.17,1.26,79079
ACSSF,ct,312,0,37,,,,,9,,,55990,,,,,,,,,,14860,,,,,,,,,,,,,,,,,,Y,,31200US148600955990,Norwalk city,,,"Norwalk city, CT; Bridgeport-Stamford-Norwalk, CT Metro Area",1.48601E+11,59207053,34948109,955990,,,,,,,66104,8336,12638,13930,18762,8242,2329,1867,12.61,19.12,21.07,28.38,12.47,3.52,2.82,89047
ACSSF,ct,312,0,38,,,,,9,,,73000,,,,,,,,,,14860,,,,,,,,,,,,,,,,,,Y,,31200US148600973000,Stamford city,,,"Stamford city, CT; Bridgeport-Stamford-Norwalk, CT Metro Area",1.48601E+11,97483371,37309907,973000,,,,,,,98268,11055,20938,16673,29293,14729,3948,1632,11.25,21.31,16.97,29.81,14.99,4.02,1.66,100543
ACSSF,tx,312,0,137,,,,,48,,,10768,,,,,,,,,,15180,,,,,,,,,,,,,,,,,,Y,,31200US151804810768,Brownsville city,,,"Brownsville city, TX; Brownsville-Harlingen, TX Metro Area",1.51805E+11,342733700,36131806,4810768,,,,,,,108783,31909,29658,24452,16149,4618,1710,287,29.33,27.26,22.48,14.85,4.25,1.57,0.26,47435
ACSSF,tx,312,0,138,,,,,48,,,32372,,,,,,,,,,15180,,,,,,,,,,,,,,,,,,Y,,31200US151804832372,Harlingen city,,,"Harlingen city, TX; Brownsville-Harlingen, TX Metro Area",1.51805E+11,103097045,1278312,4832372,,,,,,,47509,9841,13463,13080,7727,2294,1018,86,20.71,28.34,27.53,16.26,4.83,2.14,0.18,50861
ACSSF,ny,312,0,93,,,,,36,,,11000,,,,,,,,,,15380,,,,,,,,,,,,,,,,,,Y,,31200US153803611000,Buffalo city,,,"Buffalo city, NY; Buffalo-Cheektowaga, NY Metro Area",1.53804E+11,104594197,31364094,3611000,,,,,,,184416,24670,47459,51748,33782,18512,4047,4198,13.38,25.73,28.06,18.32,10.04,2.19,2.28,40669
ACSSF,ny,312,0,94,,,,,36,,,15000,,,,,,,,,,15380,,,,,,,,,,,,,,,,,,Y,,31200US153803615000,Cheektowaga CDP,,,"Cheektowaga CDP, NY; Buffalo-Cheektowaga, NY Metro Area",1.53804E+11,65638078,146522,3615000,,,,,,,54969,5395,17570,16242,10241,4714,584,223,9.81,31.96,29.55,18.63,8.58,1.06,0.41,64106
ACSSF,oh,312,0,69,,,,,39,,,12000,,,,,,,,,,15940,,,,,,,,,,,,,,,,,,Y,,31200US159403912000,Canton city,,,"Canton city, OH; Canton-Massillon, OH Metro Area",1.59404E+11,65947231,40504,3912000,,,,,,,49113,6079,19770,15378,5574,1895,252,165,12.38,40.25,31.31,11.35,3.86,0.51,0.34,40934
ACSSF,fl,312,0,109,,,,,12,,,10275,,,,,,,,,,15980,,,,,,,,,,,,,,,,,,Y,,31200US159801210275,Cape Coral city,,,"Cape Coral city, FL; Cape Coral-Fort Myers, FL Metro Area",1.59801E+11,273690626,38716444,1210275,,,,,,,156983,10337,57886,50158,25944,8399,2582,1677,6.58,36.87,31.95,16.53,5.35,1.64,1.07,66425
ACSSF,fl,312,0,110,,,,,12,,,24125,,,,,,,,,,15980,,,,,,,,,,,,,,,,,,Y,,31200US159801224125,Fort Myers city,,,"Fort Myers city, FL; Cape Coral-Fort Myers, FL Metro Area",1.59801E+11,103489348,23360418,1224125,,,,,,,68133,12202,21141,14514,12865,3851,1931,1629,17.91,31.03,21.3,18.88,5.65,2.83,2.39,53583
ACSSF,ia,312,0,33,,,,,19,,,12000,,,,,,,,,,16300,,,,,,,,,,,,,,,,,,Y,,31200US163001912000,Cedar Rapids city,,,"Cedar Rapids city, IA; Cedar Rapids, IA Metro Area",1.63002E+11,183368159,3293483,1912000,,,,,,,91163,5488,20036,32632,22663,7232,2065,1047,6.02,21.98,35.8,24.86,7.93,2.27,1.15,60977
ACSSF,il,312,0,97,,,,,17,,,12385,,,,,,,,,,16580,,,,,,,,,,,,,,,,,,Y,,31200US165801712385,Champaign city,,,"Champaign city, IL; Champaign-Urbana, IL Metro Area",1.65802E+11,58101712,68911,1712385,,,,,,,46420,1987,6277,11950,9486,11111,1511,4098,4.28,13.52,25.74,20.44,23.94,3.26,8.83,53410
