"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
"ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,"Autauga County, Alabama","01001","1539634184","25674812",,,,,,,,55639,42150,10866,155,649,24,374,1421,21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898
"ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,"Baldwin County, Alabama","01003","4117656199","1132956041",,,,,,,,218289,186504,19153,1514,2033,10,3398,5677,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562
"ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,"Barbour County, Alabama","01005","2292160149","50523213",,,,,,,,25026,11587,11929,88,122,1,777,522,9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241
"ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,"Bibb County, Alabama","01007","1612188717","9572303",,,,,,,,22374,17138,5045,12,56,0,9,114,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157
"ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,"Blount County, Alabama","01009","1670259090","14860281",,,,,,,,57755,54271,808,55,236,55,1037,1293,21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580
"ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,"Bullock County, Alabama","01011","1613083467","6030667",,,,,,,,10173,2663,6980,0,137,0,318,75,3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95
"ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,"Butler County, Alabama","01013","2012002546","2701199",,,,,,,,19726,10183,8795,66,261,0,98,323,6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174
"ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,"Calhoun County, Alabama","01015","1569246127","16536293",,,,,,,,114324,83801,24190,358,925,327,1871,2852,44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150
"ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,"Chambers County, Alabama","01017","1545085601","16971700",,,,,,,,33427,19015,13372,81,368,9,264,318,13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214
"ACSSF","al","050","00","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County",,,"Cherokee County, Alabama","01019","1433620850","120310807",,,,,,,,26035,23970,1250,150,26,0,212,427,10836,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357
"ACSSF","al","050","00","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County",,,"Chilton County, Alabama","01021","1794438835","20592116",,,,,,,,44147,36260,4268,504,195,0,1571,1349,17140,1243,857,1101,966,1379,714,890,742,410,1752,1737,2350,1340,538,720,401
"ACSSF","al","050","00","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County",,,"Choctaw County, Alabama","01023","2365900081","19114321",,,,,,,,12755,7253,5398,7,25,0,11,61,5330,474,467,398,458,439,244,419,228,175,241,343,608,480,74,236,46
"ACSSF","al","050","00","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County",,,"Clarke County, Alabama","01025","3207494086","36657889",,,,,,,,23866,12520,10909,18,109,0,47,263,9323,1439,620,558,588,747,444,379,310,428,529,931,777,520,299,493,261
"ACSSF","al","050","00","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027","Clay County",,,"Clay County, Alabama","01027","1564255426","5281616",,,,,,,,13285,11068,2035,20,33,0,6,123,5153,402,438,282,173,478,319,374,287,140,478,461,463,269,348,99,142
"ACSSF","al","050","00","0000027",,,,,"01","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029","Cleburne County",,,"Cleburne County, Alabama","01029","1450666453","2352217",,,,,,,,14952,13955,394,21,1,0,281,300,5835,649,223,435,478,253,280,361,163,240,540,602,714,403,191,213,90
"ACSSF","al","050","00","0000028",,,,,"01","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031","Coffee County",,,"Coffee County, Alabama","01031","1758565928","3907189",,,,,,,,52238,39014,8906,523,843,0,675,2277,19951,1455,1049,1081,832,786,838,1217,873,822,1560,2175,2550,1742,1225,1130,616
"ACSSF","al","050","00","0000029",,,,,"01","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033","Colbert County",,,"Colbert County, Alabama","01033","1535742270","79160396",,,,,,,,54957,43279,8909,313,282,57,985,1132,21797,1927,1302,1424,1331,928,1382,1015,1016,924,1756,2492,2763,1432,1033,757,315
"ACSSF","al","050","00","0000030",,,,,"01","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035","Conecuh County",,,"Conecuh County, Alabama","01035","2202213384","6426488",,,,,,,,12219,6176,5872,20,70,0,0,81,4585,416,432,243,235,370,567,279,230,248,268,354,458,309,10,72,94
"ACSSF","al","050","00","0000031",,,,,"01","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037","Coosa County",,,"Coosa County, Alabama","01037","1685846963","39991153",,,,,,,,10696,7052,3451,32,0,0,68,93,4016,145,323,246,236,232,404,329,145,325,322,280,409,357,32,163,68
"ACSSF","al","050","00","0000032",,,,,"01","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039","Covington County",,,"Covington County, Alabama","01039","2669165738","34194671",,,,,,,,37096,31260,4707,78,245,32,133,641,14995,1444,1305,753,921,958,996,763,669,568,1223,1321,1756,807,544,638,329
"ACSSF","al","050","00","0000033",,,,,"01","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041","Crenshaw County",,,"Crenshaw County, Alabama","01041","1576952763","5388562",,,,,,,,13826,9890,3267,104,183,8,58,316,5011,550,381,289,294,340,174,240,399,218,274,441,567,362,194,151,137
"ACSSF","al","050","00","0000034",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County",,,"Cullman County, Alabama","01043","1902962812","52533095",,,,,,,,83345,78295,943,295,304,0,758,2750,31733,2164,1762,1808,1808,1956,1815,1918,1930,1095,3093,3118,3850,2212,1230,1315,659
"ACSSF","al","050","00","0000035",,,,,"01","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045","Dale County",,,"Dale County, Alabama","01045","1453276166","4051341",,,,,,,,49293,35286,10193,413,680,0,1081,1640,19405,1751,1186,1510,1237,970,1105,1129,713,891,1435,2031,2366,1087,962,602,430
"ACSSF","al","050","00","0000036",,,,,"01","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047","Dallas County",,,"Dallas County, Alabama","01047","2534919608","39124778",,,,,,,,38184,10394,27290,48,250,11,1,190,15409,2540,1141,1298,1051,912,1237,806,536,581,1182,1136,1269,802,460,307,151
"ACSSF","al","050","00","0000037",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County",,,"DeKalb County, Alabama","01049","2012620262","4107136",,,,,,,,71430,60554,1093,850,76,92,6256,2509,26365,2122,1740,1934,1635,2066,1477,1483,1455,1052,2426,2543,2807,1721,732,599,573
"ACSSF","al","050","00","0000038",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County",,,"Elmore County, Alabama","01051","1601945705","99781059",,,,,,,,81526,61073,17230,241,749,0,588,1645,29794,1481,1045,1481,1186,1396,1540,992,1305,1293,2596,3349,4250,2986,1822,1754,1318
"ACSSF","al","050","00","0000039",,,,,"01","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053","Escambia County",,,"Escambia County, Alabama","01053","2448595161","20024887",,,,,,,,36775,22757,11774,1391,103,43,137,570,12931,1975,960,788,859,990,810,757,631,586,1083,1112,996,553,316,340,175
"ACSSF","al","050","00","0000040",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County",,,"Etowah County, Alabama","01055","1385916770","35022972",,,,,,,,102721,81298,16519,529,808,3,1300,2264,38765,3092,2385,2595,2423,2289,2528,2080,2011,1773,3103,3409,4470,2839,1624,1329,815
"ACSSF","al","050","00","0000041",,,,,"01","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County",,,"Fayette County, Alabama","01057","1625693254","4330881",,,,,,,,16406,13884,2003,0,108,4,1,406,6805,600,627,472,512,504,315,282,188,334,591,541,1053,376,151,147,112
"ACSSF","al","050","00","0000042",,,,,"01","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County",,,"Franklin County, Alabama","01059","1641845708","32639621",,,,,,,,31587,26017,1241,326,273,6,3175,549,11017,882,615,836,1037,630,533,883,467,450,779,1005,1542,569,209,434,146
"ACSSF","al","050","00","0000043",,,,,"01","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County",,,"Geneva County, Alabama","01061","1487908432","11567409",,,,,,,,26383,22678,2678,312,42,10,266,397,10572,916,833,740,900,561,429,602,797,341,771,829,1267,726,429,281,150
"ACSSF","al","050","00","0000044",,,,,"01","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County",,,"Greene County, Alabama","01063","1675782057","33416141",,,,,,,,8221,1430,6489,38,0,0,39,225,3178,604,307,362,208,302,218,123,92,158,233,128,226,118,10,55,34
"ACSSF","al","050","00","0000045",,,,,"01","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County",,,"Hale County, Alabama","01065","1667926655","32403804",,,,,,,,14754,5668,8726,0,28,0,15,317,5490,855,641,249,523,444,179,188,209,186,298,460,488,382,202,136,50
"ACSSF","al","050","00","0000046",,,,,"01","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County",,,"Henry County, Alabama","01067","1454959642","16953809",,,,,,,,17123,11994,4553,34,73,36,145,288,6556,507,406,511,367,306,380,203,240,264,537,710,872,414,409,243,187
"ACSSF","al","050","00","0000047",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County",,,"Houston County, Alabama","01069","1501742239","4795415",,,,,,,,105319,71857,28677,290,996,16,682,2801,39784,3112,2444,2439,2256,2090,2153,2051,1998,1631,2948,3738,4616,3022,1855,1791,1640
"ACSSF","al","050","00","0000048",,,,,"01","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County",,,"Jackson County, Alabama","01071","2792044654","126334707",,,,,,,,51765,47211,1908,559,220,35,445,1387,20367,1669,1610,1419,1096,1564,1082,1021,1170,805,1363,2473,1901,1764,617,415,398
"ACSSF","al","050","00","0000049",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County",,,"Jefferson County, Alabama","01073","2878852142","32681784",,,,,,,,658615,338644,282538,1157,10417,187,10957,14715,263801,22217,12800,12538,13101,12895,13745,11639,11505,10240,20282,25476,30018,21299,14190,14336,17520
"ACSSF","al","050","00","0000050",,,,,"01","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County",,,"Lamar County, Alabama","01075","1566544684","1600679",,,,,,,,13854,12112,1525,12,21,0,50,134,5631,541,554,364,342,278,392,226,223,411,476,406,475,600,177,112,54
"ACSSF","al","050","00","0000051",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County",,,"Lauderdale County, Alabama","01077","1730148679","133606345",,,,,,,,92870,79815,9514,338,581,64,287,2271,38513,2675,1902,2740,2188,2430,2280,1915,2084,1457,2601,4040,5042,2397,2253,1365,1144
"ACSSF","al","050","00","0000052",,,,,"01","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County",,,"Lawrence County, Alabama","01079","1788864348","68682286",,,,,,,,32969,25798,3520,1967,40,22,163,1459,12551,866,628,911,750,789,666,595,750,548,938,1634,1150,1001,501,478,346
"ACSSF","al","050","00","0000053",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County",,,"Lee County, Alabama","01081","1573528082","21515484",,,,,,,,163461,113894,37121,348,7131,7,1234,3726,60731,7626,2858,3174,3040,2973,2785,2304,2182,2237,3691,6004,6870,5448,3205,3363,2971
"ACSSF","al","050","00","0000054",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County",,,"Limestone County, Alabama","01083","1450296914","122310594",,,,,,,,96921,76469,13128,897,1412,43,2045,2927,32725,1983,1216,1773,1291,1298,1515,1066,1154,1853,2448,2948,5259,3114,2049,2114,1644
"ACSSF","al","050","00","0000055",,,,,"01","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County",,,"Lowndes County, Alabama","01085","1854651814","23271259",,,,,,,,9936,2464,7440,12,0,0,0,20,4213,454,502,266,544,201,169,234,242,176,261,339,296,175,202,76,76
"ACSSF","al","050","00","0000056",,,,,"01","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County",,,"Macon County, Alabama","01087","1576435594","11765508",,,,,,,,18437,3000,15162,15,36,0,12,212,7592,1097,492,486,637,595,453,415,302,368,459,654,656,264,312,211,191
"ACSSF","al","050","00","0000057",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County",,,"Madison County, Alabama","01089","2076136600","28786030",,,,,,,,367686,247390,90449,2074,9676,306,5723,12068,151628,7726,6853,6478,6386,7265,6279,5771,6073,5860,10277,13508,18233,14688,10116,13969,12146
"ACSSF","al","050","00","0000058",,,,,"01","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County",,,"Marengo County, Alabama","01091","2530155136","14951685",,,,,,,,19138,8915,9907,24,9,0,43,240,7499,1091,735,654,488,594,368,192,220,213,467,533,728,560,188,272,196
"ACSSF","al","050","00","0000059",,,,,"01","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County",,,"Marion County, Alabama","01093","1922660061","3180617",,,,,,,,29818,27518,1128,136,18,0,481,537,11780,972,1211,1007,833,665,609,467,606,689,950,1166,1194,540,372,179,320
"ACSSF","al","050","00","0000060",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County",,,"Marshall County, Alabama","01095","1465531833","148495463",,,,,,,,96137,86784,2826,371,615,36,1925,3580,35115,2355,2263,1586,2318,1842,1496,1934,2002,1672,3045,3590,4157,2351,1909,1153,1442
"ACSSF","al","050","00","0000061",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County",,,"Mobile County, Alabama","01097","3184064139","1074011171",,,,,,,,413977,240134,149478,2748,7728,61,4609,9219,157557,13952,8337,10856,7835,8557,7998,7733,7677,6301,12986,15817,17853,11839,7452,6979,5385
"ACSSF","al","050","00","0000062",,,,,"01","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County",,,"Monroe County, Alabama","01099","2656469672","22609681",,,,,,,,21006,11425,8918,286,125,12,22,218,8050,1366,826,462,545,522,455,251,313,276,618,579,779,346,257,263,192
"ACSSF","al","050","00","0000063",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County",,,"Montgomery County, Alabama","01101","2034045843","37716728",,,,,,,,226451,78661,131159,478,6933,23,2941,6256,89511,8072,5435,4666,4205,4559,4352,4181,4026,3783,8510,8475,9784,7752,3791,3970,3950
"ACSSF","al","050","00","0000064",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County",,,"Morgan County, Alabama","01103","1501337447","50196644",,,,,,,,119352,93765,15137,506,661,196,4927,4160,46388,3041,2194,2695,2704,2660,2959,1965,2086,1889,3844,4379,5972,3511,2366,2310,1813
"ACSSF","al","050","00","0000065",,,,,"01","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County",,,"Perry County, Alabama","01105","1863936200","10902207",,,,,,,,9104,2696,6290,3,8,0,103,4,3140,530,454,279,438,198,202,253,83,54,131,154,139,123,98,4,0
"ACSSF","al","050","00","0000066",,,,,"01","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County",,,"Pickens County, Alabama","01107","2282835039","22621093",,,,,,,,20049,11384,8078,38,8,0,269,272,7731,689,781,602,410,562,459,322,449,310,389,717,747,691,192,217,194
"ACSSF","al","050","00","0000067",,,,,"01","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County",,,"Pike County, Alabama","01109","1740645369","2339145",,,,,,,,33274,19230,12415,121,715,3,41,749,11700,1556,736,926,846,563,761,554,446,368,715,955,1101,847,514,512,300
"ACSSF","al","050","00","0000068",,,,,"01","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County",,,"Randolph County, Alabama","01111","1503618358","9283013",,,,,,,,22732,17563,4327,99,49,0,176,518,8655,800,738,491,398,501,633,344,413,402,809,876,741,533,521,296,159
"ACSSF","al","050","00","0000069",,,,,"01","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County",,,"Russell County, Alabama","01113","1660652494","15564412",,,,,,,,57938,27675,26023,85,676,30,1538,1911,23694,2966,1393,1669,1467,1551,930,1176,1381,830,2347,2133,2383,1298,581,894,695
"ACSSF","al","050","00","0000070",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County",,,"St. Clair County, Alabama","01115","1635759732","56431785",,,,,,,,88929,77393,8399,482,668,18,722,1247,32765,1672,1112,1770,1341,1346,1468,1635,1346,1280,2830,3924,4699,4559,1162,1580,1041
"ACSSF","al","050","00","0000071",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County",,,"Shelby County, Alabama","01117","2034279155","62288767",,,,,,,,216350,172560,26213,834,4231,43,5821,6648,80756,3081,2420,2101,2863,2484,2558,2624,3235,2861,5843,8363,11192,9488,7236,6533,7874
"ACSSF","al","050","00","0000072",,,,,"01","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County",,,"Sumter County, Alabama","01119","2340898913","24634883",,,,,,,,12595,3190,8987,8,247,0,39,124,5355,1027,392,524,597,373,232,234,263,155,344,342,436,253,102,44,37
"ACSSF","al","050","00","0000073",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County",,,"Talladega County, Alabama","01121","1908346572","60874403",,,,,,,,80244,50941,25904,282,432,151,768,1766,31741,2821,2295,2403,2034,1882,2014,1393,1340,1267,2187,3342,3685,2411,1024,1025,618
"ACSSF","al","050","00","0000074",,,,,"01","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County",,,"Tallapoosa County, Alabama","01123","1855798005","128790974",,,,,,,,40450,28258,11178,51,167,0,301,495,16359,1395,1272,1053,1004,969,716,597,725,687,1726,1795,1847,942,676,560,395
"ACSSF","al","050","00","0000075",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County",,,"Tuscaloosa County, Alabama","01125","3420981170","78702314",,,,,,,,208854,132297,67305,453,3435,45,1779,3540,74713,6542,4042,3700,3207,3533,3892,3231,3463,2886,5983,7335,8954,6853,4510,3444,3138
"ACSSF","al","050","00","0000076",,,,,"01","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127","Walker County",,,"Walker County, Alabama","01127","2048757700","36683003",,,,,,,,63802,57142,3856,188,238,0,652,1726,25440,2082,1743,1690,1647,1257,1139,1837,1169,902,2038,2372,3515,1887,807,884,471
"ACSSF","al","050","00","0000077",,,,,"01","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129","Washington County",,,"Washington County, Alabama","01129","2797712949","21660030",,,,,,,,16336,10781,3962,1223,30,0,25,315,5830,595,571,426,238,350,278,237,336,216,376,394,474,449,296,303,291
"ACSSF","al","050","00","0000078",,,,,"01","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131","Wilcox County",,,"Wilcox County, Alabama","01131","2299540559","50592191",,,,,,,,10552,2868,7418,12,4,0,0,250,3961,512,519,266,244,246,189,215,213,188,234,276,411,221,105,57,65
"ACSSF","al","050","00","0000079",,,,,"01","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133","Winston County",,,"Winston County, Alabama","01133","1587657470","48873867",,,,,,,,23712,22663,193,71,89,16,261,419,9612,705,860,694,908,667,587,341,375,509,949,789,960,605,285,192,186
"ACSSF","ak","050","00","0000013",,,,,"02","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013","Aleutians East Borough",,,"Aleutians East Borough, Alaska","02013","18091672533","20799851130",,,,,,,,3389,500,129,1382,815,11,175,377,988,33,31,42,54,34,43,31,26,44,72,78,120,193,91,53,43
"ACSSF","ak","050","00","0000014",,,,,"02","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016","Aleutians West Census Area",,,"Aleutians West Census Area, Alaska","02016","11377885025","25183635754",,,,,,,,5708,1510,167,615,2338,170,316,592,1306,16,17,18,15,29,25,17,49,25,69,211,286,186,97,125,121
"ACSSF","ak","050","00","0000015",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality",,,"Anchorage Municipality, Alaska","02020","4420591349","621302197",,,,,,,,292090,178735,15507,21921,28672,8332,6881,32042,106970,3188,2463,2823,2433,3254,3482,3402,3384,3089,6838,12646,15279,12276,9308,11577,11528
"ACSSF","ak","050","00","0000016",,,,,"02","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050","Bethel Census Area",,,"Bethel Census Area, Alaska","02050","105223804364","12764675306",,,,,,,,18263,1875,145,15194,212,45,49,743,4499,373,277,239,219,215,206,242,129,151,341,396,543,394,269,248,257
"ACSSF","ak","050","00","0000017",,,,,"02","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060","Bristol Bay Borough",,,"Bristol Bay Borough, Alaska","02060","1248315815","949775630",,,,,,,,739,384,4,225,17,9,21,79,284,6,2,11,11,13,4,8,11,5,33,21,48,39,25,20,27
"ACSSF","ak","050","00","0000018",,,,,"02","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02063","Chugach Census Area",,,"Chugach Census Area, Alaska","02063","24682168359","14538928722",,,,,,,,6495,4888,72,400,372,62,226,475,2310,63,20,21,43,200,9,25,178,75,214,121,459,387,101,177,217
"ACSSF","ak","050","00","0000019",,,,,"02","066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02066","Copper River Census Area",,,"Copper River Census Area, Alaska","02066","63952335592","1217429937",,,,,,,,2894,1657,5,824,16,0,7,385,1063,44,94,49,23,14,48,3,23,75,93,136,82,158,76,59,86
