"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Median Household Income (In 2020 Inflation Adjusted Dollars):","Median Household Income (In 2020 Inflation Adjusted Dollars): White Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Black or African American Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Asian Alone","Median Household Income (In 2020 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Some Other Race Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Two or More Races Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Hispanic or Latino Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,"Autauga County, Alabama","01001","1539634184","25674812",,,,,,,,57982,65364,30718,,98953,,110423,,81185,65130,37860,4273,11880,10986,6320,3399,504,498
"ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,"Baldwin County, Alabama","01003","4117656199","1132956041",,,,,,,,61756,66418,39500,29856,49406,,48105,41118,54063,66695,155563,14823,42272,48832,31444,13331,2845,2016
"ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,"Barbour County, Alabama","01005","2292160149","50523213",,,,,,,,34990,50640,22835,,53750,,,,30350,51017,17797,4497,6361,4872,1296,540,118,113
"ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,"Bibb County, Alabama","01007","1612188717","9572303",,,,,,,,51721,54955,14591,,,,,20966,63438,54895,15987,3056,7206,3911,1183,481,109,41
"ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,"Blount County, Alabama","01009","1670259090","14860281",,,,,,,,48922,49029,42656,,125272,,,46399,40783,49580,39814,6838,13975,13725,3540,1382,222,132
"ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,"Bullock County, Alabama","01011","1613083467","6030667",,,,,,,,33866,67344,26579,,,,,,,76389,6784,1700,2809,1578,413,152,104,28
"ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,"Butler County, Alabama","01013","2012002546","2701199",,,,,,,,44850,55410,31250,48556,,,,,,56493,13820,1886,6425,3304,1396,651,139,19
"ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,"Calhoun County, Alabama","01015","1569246127","16536293",,,,,,,,50128,53616,37707,54115,37933,,37632,20625,49563,53622,78967,11787,27203,25087,8296,4618,1093,883
"ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,"Chambers County, Alabama","01017","1545085601","16971700",,,,,,,,43875,49826,34995,,,,100250,41429,70159,49953,23771,4140,8829,7369,2491,740,173,29
"ACSSF","al","050","00","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County",,,"Cherokee County, Alabama","01019","1433620850","120310807",,,,,,,,42509,43459,,,,,,64821,34183,43567,19143,3288,7495,5884,1202,743,399,132
"ACSSF","al","050","00","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County",,,"Chilton County, Alabama","01021","1794438835","20592116",,,,,,,,52141,53882,33000,78253,66912,,54485,40341,50395,54112,30153,5485,13070,7491,2471,1349,181,106
"ACSSF","al","050","00","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County",,,"Choctaw County, Alabama","01023","2365900081","19114321",,,,,,,,36634,43393,29093,,,,,,,43571,9263,1603,3346,3062,761,374,44,73
"ACSSF","al","050","00","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County",,,"Clarke County, Alabama","01025","3207494086","36657889",,,,,,,,37345,50443,27115,,185727,,,60089,44583,50436,16703,2904,6942,4554,1401,752,79,71
"ACSSF","al","050","00","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027","Clay County",,,"Clay County, Alabama","01027","1564255426","5281616",,,,,,,,42678,43967,29281,,,,,103542,30197,44234,9371,1756,3751,2760,709,300,95,0
"ACSSF","al","050","00","0000027",,,,,"01","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029","Cleburne County",,,"Cleburne County, Alabama","01029","1450666453","2352217",,,,,,,,46320,49704,,,,,45444,,45282,49779,10538,1877,4044,2929,1121,425,89,53
"ACSSF","al","050","00","0000028",,,,,"01","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031","Coffee County",,,"Coffee County, Alabama","01031","1758565928","3907189",,,,,,,,56799,61972,37602,44231,105853,,87045,55139,39979,62729,35936,5158,9876,13094,4993,2235,327,253
"ACSSF","al","050","00","0000029",,,,,"01","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033","Colbert County",,,"Colbert County, Alabama","01033","1535742270","79160396",,,,,,,,47962,53105,30687,83500,65481,,23835,65530,31319,53250,39077,5590,14452,12247,4263,1882,421,222
"ACSSF","al","050","00","0000030",,,,,"01","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035","Conecuh County",,,"Conecuh County, Alabama","01035","2202213384","6426488",,,,,,,,35444,40098,33152,,,,,,,40368,8826,1328,4125,2152,727,320,31,143
"ACSSF","al","050","00","0000031",,,,,"01","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037","Coosa County",,,"Coosa County, Alabama","01037","1685846963","39991153",,,,,,,,43571,47763,34270,,,,,51250,,47971,8281,1394,3482,2448,659,234,48,16
"ACSSF","al","050","00","0000032",,,,,"01","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039","Covington County",,,"Covington County, Alabama","01039","2669165738","34194671",,,,,,,,42566,47023,24655,30219,,,,35750,41600,47319,26366,3864,9823,8562,2455,1258,255,149
"ACSSF","al","050","00","0000033",,,,,"01","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041","Crenshaw County",,,"Crenshaw County, Alabama","01041","1576952763","5388562",,,,,,,,42611,49365,23698,,,,,,,48923,9684,2051,3697,2144,1271,439,55,27
"ACSSF","al","050","00","0000034",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County",,,"Cullman County, Alabama","01043","1902962812","52533095",,,,,,,,48388,48251,49306,44368,,,38750,60806,50909,48135,58084,10302,18747,20081,5889,2423,440,202
"ACSSF","al","050","00","0000035",,,,,"01","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045","Dale County",,,"Dale County, Alabama","01045","1453276166","4051341",,,,,,,,45644,50357,30653,43409,,,,60764,52903,50365,33522,4923,10358,12134,4208,1500,262,137
"ACSSF","al","050","00","0000036",,,,,"01","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047","Dallas County",,,"Dallas County, Alabama","01047","2534919608","39124778",,,,,,,,33317,55413,27270,,,,,50125,83438,55590,25611,4111,9277,7960,2634,1311,177,141
"ACSSF","al","050","00","0000037",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County",,,"DeKalb County, Alabama","01049","2012620262","4107136",,,,,,,,42267,43270,37292,54423,60625,,24583,38036,26922,44040,48306,10615,15809,15129,4166,2098,362,127
"ACSSF","al","050","00","0000038",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County",,,"Elmore County, Alabama","01051","1601945705","99781059",,,,,,,,62324,69307,41453,64781,55208,,41250,26188,34344,69649,56633,7213,17958,16842,9546,3762,625,687
"ACSSF","al","050","00","0000039",,,,,"01","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053","Escambia County",,,"Escambia County, Alabama","01053","2448595161","20024887",,,,,,,,35558,42090,24943,31911,,,,35750,70074,41501,25703,5050,11056,6384,2252,836,78,47
"ACSSF","al","050","00","0000040",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County",,,"Etowah County, Alabama","01055","1385916770","35022972",,,,,,,,44934,49241,30601,,42240,,26952,30625,30500,49446,72188,10591,24104,24718,7764,3463,1063,485
"ACSSF","al","050","00","0000041",,,,,"01","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County",,,"Fayette County, Alabama","01057","1625693254","4330881",,,,,,,,41469,46328,29832,,,,,,,46250,11572,1829,4934,3387,1055,306,32,29
"ACSSF","al","050","00","0000042",,,,,"01","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County",,,"Franklin County, Alabama","01059","1641845708","32639621",,,,,,,,41174,43280,33929,68382,,,37500,18150,39722,43013,21071,4493,8223,5184,2164,727,166,114
"ACSSF","al","050","00","0000043",,,,,"01","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County",,,"Geneva County, Alabama","01061","1487908432","11567409",,,,,,,,41569,42370,27634,,,,48250,29886,47917,42308,18688,3399,6751,6093,1451,909,81,4
"ACSSF","al","050","00","0000044",,,,,"01","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County",,,"Greene County, Alabama","01063","1675782057","33416141",,,,,,,,26688,54279,21319,,,,,,,54279,5768,1100,2301,1783,332,190,16,46
"ACSSF","al","050","00","0000045",,,,,"01","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County",,,"Hale County, Alabama","01065","1667926655","32403804",,,,,,,,30793,54879,22919,,,,,16615,,54879,10023,1938,3730,2792,1063,380,49,71
"ACSSF","al","050","00","0000046",,,,,"01","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County",,,"Henry County, Alabama","01067","1454959642","16953809",,,,,,,,51715,60035,27799,,,,,88333,43681,60095,12214,2385,3941,3580,1507,712,69,20
"ACSSF","al","050","00","0000047",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County",,,"Houston County, Alabama","01069","1501742239","4795415",,,,,,,,49069,57505,30758,78281,82409,,52750,36712,40353,57999,72863,9564,22968,24208,10109,4333,1255,426
"ACSSF","al","050","00","0000048",,,,,"01","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County",,,"Jackson County, Alabama","01071","2792044654","126334707",,,,,,,,42578,42986,34722,33235,31250,,13602,60464,14654,43307,37102,6136,14501,10447,3942,1603,251,222
"ACSSF","al","050","00","0000049",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County",,,"Jefferson County, Alabama","01073","2878852142","32681784",,,,,,,,55088,72836,39286,37235,70618,,44142,44708,41778,73945,450079,42690,118507,135630,94241,36816,14409,7786
"ACSSF","al","050","00","0000050",,,,,"01","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County",,,"Lamar County, Alabama","01075","1566544684","1600679",,,,,,,,42688,46110,21858,,,,,11042,,46156,9810,1672,4026,3005,691,321,66,29
"ACSSF","al","050","00","0000051",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County",,,"Lauderdale County, Alabama","01077","1730148679","133606345",,,,,,,,48428,52072,27944,,,,112553,42609,45674,52170,64089,7296,22358,18364,10244,4317,729,781
"ACSSF","al","050","00","0000052",,,,,"01","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County",,,"Lawrence County, Alabama","01079","1788864348","68682286",,,,,,,,47125,49270,32630,66550,,,,67031,,49580,23401,4497,9284,5911,2385,1210,47,67
"ACSSF","al","050","00","0000053",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County",,,"Lee County, Alabama","01081","1573528082","21515484",,,,,,,,52930,61673,34786,,57083,,,47553,40565,62077,99315,9569,22153,31414,19926,11392,1974,2887
"ACSSF","al","050","00","0000054",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County",,,"Limestone County, Alabama","01083","1450296914","122310594",,,,,,,,64270,68317,46962,,94727,,20000,,52721,67599,67974,10012,19941,21085,11872,4137,577,350
"ACSSF","al","050","00","0000055",,,,,"01","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County",,,"Lowndes County, Alabama","01085","1854651814","23271259",,,,,,,,33634,66250,24684,,,,,,,66250,6892,1227,2840,1815,557,393,41,19
"ACSSF","al","050","00","0000056",,,,,"01","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County",,,"Macon County, Alabama","01087","1576435594","11765508",,,,,,,,35450,52120,31301,,,,,70693,,51685,11932,1961,3652,3876,1312,762,239,130
"ACSSF","al","050","00","0000057",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County",,,"Madison County, Alabama","01089","2076136600","28786030",,,,,,,,66887,77710,42114,83113,81515,80660,27063,71583,42285,78919,252546,21042,49140,71675,67834,33424,3979,5452
"ACSSF","al","050","00","0000058",,,,,"01","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County",,,"Marengo County, Alabama","01091","2530155136","14951685",,,,,,,,33029,61645,23429,,,,,100268,,61763,13025,1896,4977,3923,1298,761,101,69
"ACSSF","al","050","00","0000059",,,,,"01","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County",,,"Marion County, Alabama","01093","1922660061","3180617",,,,,,,,40978,42065,23906,35662,,,,,47670,42021,21297,4026,7345,7084,1702,942,101,97
"ACSSF","al","050","00","0000060",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County",,,"Marshall County, Alabama","01095","1465531833","148495463",,,,,,,,50216,50840,42074,,,,45938,41285,40813,51658,64322,10726,19988,20310,9037,3210,653,398
"ACSSF","al","050","00","0000061",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County",,,"Mobile County, Alabama","01097","3184064139","1074011171",,,,,,,,49625,60561,34391,54741,58674,,52109,51531,44067,60837,279795,35527,93840,82191,45286,16888,4056,2007
"ACSSF","al","050","00","0000062",,,,,"01","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County",,,"Monroe County, Alabama","01099","2656469672","22609681",,,,,,,,31969,50515,21242,41324,250001,,,,,50230,14691,2429,6764,3508,1256,600,119,15
"ACSSF","al","050","00","0000063",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County",,,"Montgomery County, Alabama","01101","2034045843","37716728",,,,,,,,51963,71426,40315,,81019,,34705,55587,37737,71887,150749,19103,36862,43949,29560,15905,3399,1971
"ACSSF","al","050","00","0000064",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County",,,"Morgan County, Alabama","01103","1501337447","50196644",,,,,,,,52923,56283,32244,78913,,,32586,,44613,56484,82684,13192,26213,25665,11982,4162,950,520
"ACSSF","al","050","00","0000065",,,,,"01","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County",,,"Perry County, Alabama","01105","1863936200","10902207",,,,,,,,23875,31364,22320,,,,,,,31364,5723,1239,2065,1399,661,272,16,71
"ACSSF","al","050","00","0000066",,,,,"01","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County",,,"Pickens County, Alabama","01107","2282835039","22621093",,,,,,,,40362,63202,25029,,,,,,63889,63202,14386,2467,5608,4236,1385,524,135,31
"ACSSF","al","050","00","0000067",,,,,"01","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County",,,"Pike County, Alabama","01109","1740645369","2339145",,,,,,,,39218,51715,28952,135192,,,,26058,,51961,19310,2442,6446,4701,3095,1763,401,462
"ACSSF","al","050","00","0000068",,,,,"01","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County",,,"Randolph County, Alabama","01111","1503618358","9283013",,,,,,,,45141,49994,32835,,,,,,15060,50995,15993,2891,5659,4708,1551,932,164,88
"ACSSF","al","050","00","0000069",,,,,"01","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County",,,"Russell County, Alabama","01113","1660652494","15564412",,,,,,,,42208,50905,34950,,,,,57522,38190,50566,39280,5783,11666,14960,4416,2024,239,192
"ACSSF","al","050","00","0000070",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County",,,"St. Clair County, Alabama","01115","1635759732","56431785",,,,,,,,62531,65274,40677,62857,50430,,32823,108750,54044,65133,62328,8873,21716,20444,7745,2834,390,326
"ACSSF","al","050","00","0000071",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County",,,"Shelby County, Alabama","01117","2034279155","62288767",,,,,,,,78889,82862,63119,114292,57099,,46250,76724,64317,82708,147791,10038,28723,43693,42683,16479,3529,2646
"ACSSF","al","050","00","0000072",,,,,"01","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County",,,"Sumter County, Alabama","01119","2340898913","24634883",,,,,,,,26150,34438,24547,,,,,46582,46990,33844,7657,1128,2646,2473,761,533,55,61
"ACSSF","al","050","00","0000073",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County",,,"Talladega County, Alabama","01121","1908346572","60874403",,,,,,,,43969,54227,31294,13333,,,,43256,,54353,56121,10211,18777,18566,4948,2923,438,258
"ACSSF","al","050","00","0000074",,,,,"01","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County",,,"Tallapoosa County, Alabama","01123","1855798005","128790974",,,,,,,,48160,54233,25986,,47344,,41473,54531,67083,54184,28797,5409,9483,8487,3417,1416,427,158
"ACSSF","al","050","00","0000075",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County",,,"Tuscaloosa County, Alabama","01125","3420981170","78702314",,,,,,,,54283,66452,37014,46435,44125,,39375,64469,45951,67409,130940,13723,37890,38545,23944,11450,1893,3495
"ACSSF","al","050","00","0000076",,,,,"01","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127","Walker County",,,"Walker County, Alabama","01127","2048757700","36683003",,,,,,,,45833,48070,31389,36370,,,30119,23452,26754,48497,44630,8185,15621,14835,3768,1567,506,148
"ACSSF","al","050","00","0000077",,,,,"01","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129","Washington County",,,"Washington County, Alabama","01129","2797712949","21660030",,,,,,,,42331,50119,17188,,,,,,,50774,11148,1577,4925,3039,700,682,119,106
"ACSSF","al","050","00","0000078",,,,,"01","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131","Wilcox County",,,"Wilcox County, Alabama","01131","2299540559","50592191",,,,,,,,35063,52778,26750,,,,,35625,,54306,7060,1463,2853,1921,557,240,24,2
"ACSSF","al","050","00","0000079",,,,,"01","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133","Winston County",,,"Winston County, Alabama","01133","1587657470","48873867",,,,,,,,40991,41926,,21917,,,,,28319,42331,17189,3706,6653,4548,1366,709,136,71
"ACSSF","ak","050","00","0000013",,,,,"02","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013","Aleutians East Borough",,,"Aleutians East Borough, Alaska","02013","18091672533","20799851130",,,,,,,,75833,81500,,49868,107941,,,121250,119183,81250,2646,354,1077,777,277,147,1,13
"ACSSF","ak","050","00","0000014",,,,,"02","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016","Aleutians West Census Area",,,"Aleutians West Census Area, Alaska","02016","11377885025","25183635754",,,,,,,,87443,121818,42344,59375,84740,60938,90000,92019,88571,123056,4208,345,1789,1358,605,88,19,4
"ACSSF","ak","050","00","0000015",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality",,,"Anchorage Municipality, Alaska","02020","4420591349","621302197",,,,,,,,84813,93594,64222,57331,74538,65035,67703,74305,66579,94971,192345,11555,45638,64793,43695,18634,5308,2722
"ACSSF","ak","050","00","0000016",,,,,"02","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050","Bethel Census Area",,,"Bethel Census Area, Alaska","02050","105223804364","12764675306",,,,,,,,54400,116923,95288,43224,,,,85341,,116923,9841,1628,4789,2309,559,461,68,27
"ACSSF","ak","050","00","0000017",,,,,"02","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060","Bristol Bay Borough",,,"Bristol Bay Borough, Alaska","02060","1248315815","949775630",,,,,,,,79808,99167,,51875,,,,76250,91250,98333,561,35,168,213,114,30,1,0
"ACSSF","ak","050","00","0000018",,,,,"02","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02063","Chugach Census Area",,,"Chugach Census Area, Alaska","02063","24682168359","14538928722",,,,,,,,90776,93421,,29554,,,49258,180897,68026,94189,4686,204,1126,1994,764,566,8,24
"ACSSF","ak","050","00","0000019",,,,,"02","066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02066","Copper River Census Area",,,"Copper River Census Area, Alaska","02066","63952335592","1217429937",,,,,,,,64745,67813,,63813,,,,51853,,67604,1880,86,650,551,327,185,80,1
"ACSSF","ak","050","00","0000020",,,,,"02","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068","Denali Borough",,,"Denali Borough, Alaska","02068","32740165582","66105677",,,,,,,,76364,76136,,90625,,,,83352,,76136,1866,42,563,531,478,246,6,0
"ACSSF","ak","050","00","0000021",,,,,"02","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070","Dillingham Census Area",,,"Dillingham Census Area, Alaska","02070","47484825242","5943879883",,,,,,,,57436,85625,62188,49231,168125,,76528,90313,76786,89375,2902,391,1165,783,247,154,92,70
"ACSSF","ak","050","00","0000022",,,,,"02","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough",,,"Fairbanks North Star Borough, Alaska","02090","18997068212","259343323",,,,,,,,76464,80259,61335,65176,63896,95489,65500,68728,75646,80648,61724,3425,14863,23482,11625,5459,1247,1623
"ACSSF","ak","050","00","0000023",,,,,"02","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100","Haines Borough",,,"Haines Borough, Alaska","02100","6069358955","1041214321",,,,,,,,65014,59167,,,,,,66152,,56964,1663,34,569,600,278,146,29,7
"ACSSF","ak","050","00","0000024",,,,,"02","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105","Hoonah-Angoon Census Area",,,"Hoonah-Angoon Census Area, Alaska","02105","16978039504","7804886156",,,,,,,,59926,72917,,40114,,,,57500,67857,75179,1744,105,635,662,255,73,9,5
"ACSSF","ak","050","00","0000025",,,,,"02","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110","Juneau City and Borough",,,"Juneau City and Borough, Alaska","02110","7003406836","1426230792",,,,,,,,88077,93584,,53750,74939,156044,115625,72847,39819,93935,22607,851,4870,8117,5722,1983,625,439
